id,title,author_info,rating,pros,cons,Categories
243,Recommend,"Jun 8, 2022 - Listing Specialist in Hyderābād",5,Just kicked started my job with Amazon.Good place to work,Working hours get stretched a bit.,Technology
244,Good to work,"Jun 22, 2022 - MEP Manager in Bangalore",4,get more ex-poser in all areas,work life balance and relatively non open for new,Technology
245,Salary,"Jun 22, 2022 - Digital Associate in Chennai",4,Work life balance Great company to start with,No growth and cannot switch to other roles,Culture
246,nil,"Jun 22, 2022 - Tech Associate in Hyderābād",3,good for freshers for first or initial job,"less pay, work life balance issues",Technology
247,Better place to work !,"Jun 7, 2022 - Catalog Lead in Chennai",5,"Just Kicked started my job with amazon, The initial impression and the task are impressive and its completely a friendly environment to work with.","Nothing as of now, All good",Technology
248,Salary,"Jun 7, 2022 - Senior TA Specialist in Bangalore",5,good salary as per the market,work life balance gets affected sometimes,Technology
249,Great Culture,"Jun 7, 2022 - Program Manager in Hyderābād",5,Great Culture and the company is still able to uphold the culture of innovation even after becoming very big.,People get stretched a bit which spoils their work Life balance.,Culture
250,Good,"Jun 7, 2022 - Device Associate in Chennai",5,Good place to work and learn more,Nothing much about the company,Culture
251,Great place to work,"Jun 7, 2022 - Solutions Architect Associate in Pune",5,"Everyone in the team is always there to help. Lot of things to learn. Every new assignment happens to be unique in its own way..#quite interesting It grooms you to be an all-rounder leader. A happening place, culture and environment to work in.",I found none till date.,Technology
252,Account manager,"Jun 7, 2022 - Account Manager in New Delhi",5,Best work culture . Streamlined process,Sometimes growth is slow in marketplace,Technology
253,work expeience,"Jun 21, 2022 - Quality Specialist in Hyderābād",4,best place to work.. work life balance,"no cons, everything is good.. best place to work",Culture
254,Good,"Jun 21, 2022 - Advertiser Support Team Leader in Hyderābād",4,Good Growth and Competitive Pay,Not so good work-life balance,Management
255,Good,"Jun 6, 2022 - Team Leader in Pune",5,Good Better Best Bestest Waah,They don't provide overtime. This I don't like,Culture
256,Great start with Amazon,"Jun 6, 2022 - Associate Marketing Specialist in Bangalore",5,My on-boarding buddy pampered me like a kid and helped me with everything. My teammates were very welcoming. Got all the updates about my on-boarding on my mail with step-wise process to complete the on-boarding.,"There is no unified platform that will which contains all the facilities that enables you to work, there are different platform which are used form different tasks.",Technology
257,Excellent company,"Jun 6, 2022 - Transaction Risk Investigator in Hyderābād",5,Very good and friendly environment we will get the salary more than expected,Shifts are the only problem but if you are ready for anything then everything is awesome at amazon,Technology
258,Best Company To Work,"Jun 6, 2022 - Catalog Associate in Bangalore",5,Great culture Great environments Care for their employees,Less pay for non tech teams,Culture
259,Better place to work,"Jun 6, 2022 - Sourcing Specialist in Bangalore",5,"Work life balance, Career progression, Good exposure, Good pay",Little bit difficult in early days to adapt.,Technology
260,good company,"Jun 20, 2022 - ML Data Associate - I in Chennai",4,non tech low stress fixed log in log out timing overtime pay,no promotion less appreciation to lower level employees,Culture
261,good company,"Jun 20, 2022 - Anonymous Employee in Hyderābād",4,good work life balance here.,high pressure to work here,Culture
262,All good,"Jun 20, 2022 - CSA - Customer Service Associate in Noida",4,Everything is good as per the working environment,WFH might emerge as a con because of high work load,Management
263,SPS NA,"Jun 20, 2022 - Seller Support Associate in Pune",4,Chilled Environment Just B2B cases to resolve No telephonic interaction required Meal card Interest Allowance IT kit with laptop provided Welcome Kit separately provided,Longest training period of 4 months. Have to complete all the 4 phases before you hit the production floor Little strict than most profile since it is a B2B profile.,Technology
264,Review,"Jun 20, 2022 - CRC Senior Associate in Hyderābād",4,"Great experience, better learning and wonderful community","work from home, contract based job and low coordination",Culture
265,Good for learning,"Jun 20, 2022 - Software Development Engineer in Gurgaon, Haryana",4,"Growth-oriented , great perks and easy to switch teams",Work-life balance is not great.,Culture
266,good salary,"Jun 20, 2022 - Software Engineer II SDE2 in Chennai",4,good salary or 4 year exp person,couldnt think of any cons as such,Technology
267,Cool,"Jun 20, 2022 - Catalog Assistant in Bangalore",4,Best place and Environment in it.,Best place to work man.,Culture
268,Good,"Jun 20, 2022 - Principal Applications Engineer in Hyderābād",3,Good but very less hike,Work life balance is good,Management
269,Business operation specialist,"Jun 20, 2022 - Catalog Specialist I in Hyderābād",3,Great work nd life balance,Promotion opportunities are very selective,Management
270,"Good company for a fresher, but not for long term","Jun 20, 2022 - Game Moderator in Noida",3,Good work life balance in case of work from home. Every employee is respected and treated fairly.,Less growth opportunity. Sudden changes in working hours.,Culture
271,It's an amazing company.,"Jun 4, 2022 - Software Engineer in Hyderābād",5,excellent teamwork. A peaceful atmosphere to work.,I found no cons in my job till now.,Technology
272,It was Good as per Industry,"Jun 4, 2022 - Quality Assurance Engineer in Chennai",5,overall good support from people,could have better work life balance,Technology
273,i love this job,"Jun 5, 2022 - Amazon Software Development Engineer in Hyderābād",5,"excellent team coordination , peaceful work atmosphere",i didnt find any cons till date,Human_Resources
274,Join at your own risk. Go for AWS.,"Jun 19, 2022 - in Bangalore",3,Always on your toes with work. Lots of mentorship opportunities and free LinkedIn courses to upskill oneself. Free cab services and lots of paid holidays.,Most teams are saturated with a lot of L3 associates so getting visibility is a pain if the L4 manager is not good. HR is unsupportive and not at all interactive even during onboarding. Less pay than other companies with same job roles (Non - Tech roles) Less transparency when it comes to promotion from L3 to L4 and projects get stolen by other associates. So lots of internal politics.,Technology
275,Na,"Jun 4, 2022 - Selling Partner Support Associate in Bangalore",5,Work culture is good. Everyone is respectful of other employee,They have great allowances but still the pay is less,Culture
276,Good company with no growth,"Jun 4, 2022 - Client Service Associate in Indore",5,A nice place to work,No growth at all in last 3 years,Culture
277,nice,"Jun 4, 2022 - Anonymous Employee in Hyderābād",5,good study good working environment,too much competition too much study,Technology
278,Good place to work,"Jun 4, 2022 - Catalog Specialist in Hyderābād",5,Good culture Good seniors Good working environment,A little more attention could be given to training new hires.,Technology
279,Great culture,"Jun 4, 2022 - Software Support Engineer in Chennai",5,Great palce to work for.,Poor work-life balance for experienced people,Culture
280,Great place to work,"Jun 4, 2022 - Software Developer in Bangalore",5,Salary is great Work culture is awesome,"As of now , i didn't find anyhing",Culture
281,Amazing place to work with.,"Jun 18, 2022 - IT Support Associate II in Pune",4,Workplace is good Benefits are exceptional Culture is good,Rotation shifts and weekoffs Nothing else actually,Culture
282,ok,"Jun 18, 2022 - Software Development Engineer (SDE) in Hyderābād",4,good team and lots of learnig,"workload is hectic, and oncall is a nigtmare",Culture
283,Excellent place to work,"Jun 18, 2022 - Manager - Risk Investigations in Hyderābād",4,Systems and processes are extremely good . . Great work culture too including work-life balance.,So far haven't faced any negative experience.,Technology
284,Superb,"Jun 18, 2022 - Software Engineer in Bangalore",4,Good company good pay n job,Nothin to share much good,Culture
285,Good place to work,"Jun 18, 2022 - Applied Scientist in Bangalore",3,Learning opportunities and curve is good,"Can be too much work for some people. Personally, I don't have a problem with that",Technology
286,Good,"Jun 3, 2022 - SEO Executive in Bangalore",5,Good work culture and great opportunities,Nothing as per my knowledge,Culture
287,Great place to work,"Jun 3, 2022 - Senior Manager, Program Management in Pune",5,Working with some of the best minds in the world Deeply ingrained culture in most employees,Sometimes it gets too big to manoeuvre,Culture
288,Good place to earn money,"Jun 3, 2022 - Problem Solver in Chennai",5,It has two week of every week and extra allowence for night shift safe and secure for night shift for both gender,To increase the the lunch time as 30 to 40 min,Technology
289,Great oraganisation to work,"Jun 3, 2022 - Process Associate in Bangalore",5,Great organization to work as a fresher,less career growth opportunities if you want to move from non it to tech role,Technology
290,Great place to work,"Jun 16, 2022 - Transactional Risk Investigator in Bangalore",4,Great place to work and stress free job,No cons working in Amazon for now,Culture
291,Its wonderful but with its own caveats.,"Jun 17, 2022 - Human Resources Senior Administrative in Hyderābād",4,"Good salary for the work provided, Helpful leadership who reach out to mentor you.",Lack of a balance as it is a stressful job.,Management
292,Bad Management but Good Learning opportunity,"Jun 17, 2022 - SDE-1 Amazon in Hyderābād",3,"Learning opportunities, can get abroad opportunity",Rest everything you can think in cons it is there in Amazon,Management
293,Feedback,"Jun 17, 2022 - Sales in Bangalore",3,Good infra and leave policy,"Poor pay and career growth,",Technology
294,Good work culture,"Jun 2, 2022 - CS Operations Analyst in Bangalore",5,Amazon gives a lot of benefits,There is room for improvement,Culture
295,Testing,"Jun 2, 2022 - Quality Service Associate in Chennai",5,Work culture Best people to work with,Less Salary when compared to other Big MNc's,Culture
296,Good company,"Jun 2, 2022 - Associate CTK in Bangalore",5,Work life balance and good management,Slow growth due to huge numbers of employees,Human_Resources
297,Customer service specialist,"Jun 2, 2022 - Customer Service Specialist in Pune",5,"Awesome Infrastructure & Organisation to work. Values Employees & Great Work Atmosphere,Polite and Professional people, Phenomenal Benefits for Employees.",There should be an opportunity for technical job role also.,Technology
298,Still Day 1,"Jun 15, 2022 - Associate Vendor Manager in Bangalore",4,Vast network of brilliant minds Lot of opportunities to grow for any career path Competitive Compensation & benefits,No on the job training at all. You are expected to start work from day 1. Indian employees get the least benefits when compared to other geographies,Human_Resources
299,Good culturey,"Jun 15, 2022 - Transaction Risk Investigator in Bangalore Rural",4,Good culture Good manager Good colleagues Work life balance,No growth for the role Saturated job market Less pay for all the hardwork and time,Technology
300,Best Company,"Jun 16, 2022 - Intern in Chennai",4,Paid Intern best learning experience best staffs,Doesnt seen any of those while working,Culture
301,-,"Jun 16, 2022 - VCS Customer Service Representative in Noida",4,"Good company , Flexible timings, salary on time No leaves issue","Payscale low , Limited growth opportunities",Technology
302,Full of learnings,"Jun 16, 2022 - Software Development Engineer I in Hyderābād",4,"* Improve your skill in 360 degree. You are not just expected to do design and development, but you'll be doing peer code and design review, hiring, mentoring, optimizing cost of services by improving cpu and memory utilization, some work for prime day like scaling-descaling of services, oncalls and lot more. * Competitive salary after especially 2022 market correction * Smart peers","* Competitive environment, expectations are high from employee as compare to other company. * Amazon expects you to be good at all his LPs. Sometimes due to lack of opportunities, it becomes to gather data points for some of the LPs.",Technology
303,Excellent,"Jun 16, 2022 - ML Data Associate - I in Hyderābād",4,Customer and employee centric. Very good work culture. Good facilities.,Slow growth. Monotonous work. Slow bias for action.,Culture
304,Retail Business Service,"Jun 16, 2022 - Associate Catalog in Bangalore",4,"Interesting, good support, Learning opportunity","Repeated work, slow growth, less pay",Management
305,LMAQ have worst management,"Jun 16, 2022 - Manager in Hyderābād",3,Can Learn new technologies and explore good envirnment,SR Management plays lot of games and growth is very slow,Technology
306,salary,"Jun 16, 2022 - Product Support Analyst in Bangalore",3,I don't think I can recollect any,Don't join Amazon they don't appreciate hard work its all buttering,Technology
307,its amazing to work with anmazon,"Jun 16, 2022 - Business Analyst in Hyderābād",3,lot of time to work on your skills,too much of headcount which dsnt let you seek oppurtunities,Technology
308,Honest Review,"Jun 1, 2022 - Software Development Engineer in New Delhi",5,There are tons of learning opportunities with lots of things to learn!,You cannot maintain a work-life balance,Management
309,Good,"Jun 1, 2022 - Senior Software Engineer in Bangalore",5,Good working env here you get,no con that i can think of,Management
310,Amazon a great place to work,"Jun 1, 2022 - Human Resources Associate in Bangalore",5,Benifits are great . Peers are great to work in a team .,Sometimes it's huge volumes working in weekends,Culture
311,Good leave policy Good work timings,"Jun 1, 2022 - Senior Quality Service Associate in Chennai",5,Lot of Benefits for Employees,career growth progress will be very slow,Human_Resources
312,The king of cloud storage.,"Jun 14, 2022 - Cloud Solution Architect in Bangalore",4,Friendly Environment Best for developing the knowledge.,You should update yourself in order to compete with freshers.,Technology
313,Great workplace,"Jun 15, 2022 - Advocacy Operation Specialist in Hyderābād",4,Good team leads who help you in all aspects,Nothing much as TLs are always there to assist you,Culture
314,Great work environment,"Jun 15, 2022 - SDE 1 in Hyderābād",4,Good perks and regular rewards,Low inhand salary as compared to other,Technology
315,Career growth,"Jun 15, 2022 - Process Associate in Bangalore",4,"Monotonous job, good managers and more leaves","No technical career growth, just waste of time if you don't learn on your own",Technology
316,Good,"Jun 15, 2022 - Virtual Assistant in Pune",4,Good Nothing specific benefits are good,Break times need to be allotted noucelg,Technology
317,Good work culture,"Jun 15, 2022 - Transaction Risk Investigator in Bangalore",4,Nice office.. infrastructure... Benefits.. health claim.. sodexo,Low salary... Slowest movement of promotion... Time taken for promotion,Technology
318,Amazing Experience!!,"May 31, 2022 - Senior Program Manager in Bangalore",5,"I love the team and culture here, it's very enriching. Senior management is approcable and supportive.",Nothing I can think as of now,Culture
319,Good Working Culture & Career growth,"May 31, 2022 - Anonymous Employee in Mumbai",5,Everyday seems to be day 1. Good learning,Nothing cons as company is very good,Culture
320,Best company,"May 31, 2022 - Anonymous Employee in Coimbatore",5,"Bestt company , best culture, pleasant place to work",Pay is the only problem we get timely paid but pay is less comparatively in the market,Culture
321,Good Company,"May 31, 2022 - Software Developer in Noida",5,Work Culture of Amazon is good,Working at Amazon is Bad,Culture
322,The king of cloud storage.,"Jun 14, 2022 - Cloud Solution Architect in Bangalore",4,Friendly Environment Best for developing the knowledge.,You should update yourself in order to compete with freshers.,Technology
323,Great workplace,"Jun 15, 2022 - Advocacy Operation Specialist in Hyderābād",4,Good team leads who help you in all aspects,Nothing much as TLs are always there to assist you,Culture
324,Great work environment,"Jun 15, 2022 - SDE 1 in Hyderābād",4,Good perks and regular rewards,Low inhand salary as compared to other,Technology
325,Career growth,"Jun 15, 2022 - Process Associate in Bangalore",4,"Monotonous job, good managers and more leaves","No technical career growth, just waste of time if you don't learn on your own",Technology
326,Good,"Jun 15, 2022 - Virtual Assistant in Pune",4,Good Nothing specific benefits are good,Break times need to be allotted noucelg,Technology
327,Good work culture,"Jun 15, 2022 - Transaction Risk Investigator in Bangalore",4,Nice office.. infrastructure... Benefits.. health claim.. sodexo,Low salary... Slowest movement of promotion... Time taken for promotion,Technology
328,Amazing Experience!!,"May 31, 2022 - Senior Program Manager in Bangalore",5,"I love the team and culture here, it's very enriching. Senior management is approcable and supportive.",Nothing I can think as of now,Culture
329,Good Working Culture & Career growth,"May 31, 2022 - Anonymous Employee in Mumbai",5,Everyday seems to be day 1. Good learning,Nothing cons as company is very good,Culture
330,Best company,"May 31, 2022 - Anonymous Employee in Coimbatore",5,"Bestt company , best culture, pleasant place to work",Pay is the only problem we get timely paid but pay is less comparatively in the market,Culture
331,Good Company,"May 31, 2022 - Software Developer in Noida",5,Work Culture of Amazon is good,Working at Amazon is Bad,Culture
332,Facility supervisor,"May 31, 2022 - House Keeping Supervisor in Chennai",5,Better place to work good facility handling management,Flexible timing dress quote for all,Management
333,Amazon Work Experience,"Jun 14, 2022 - Advertiser Support Associate in Calcutta",4,Good to work with team mates or highest standards.,Too low options for remote work.,Culture
334,Amazon review,"Jun 14, 2022 - Senior Catalog Associate - French in Bangalore",4,Beautiful Offices Excellent level of Training program Supportive HRBP,Low salary package at Associate level. (L2&L3),Management
335,Amazon is top notch customer centric approach with great Work culture,"Jun 14, 2022 - Team Lead/Manager in Bangalore",4,Work culture Employee satisfaction Customer centric,Amazon doesn’t have any major cons,Culture
336,Salary is very less...!!!,"Jun 14, 2022 - Ad Operations Associate in Bangalore",3,Benefits and leave policy are good,1). Slow growth 2). Micro management 3). Hard work will not be awarded,Management
337,Okayish,"Jun 14, 2022 - Software Engineer in Chennai",3,lot of ownership given interesting tech,work life balance is not there,Technology
338,Good work life balance- excellent benefits - Pathetic process,"Jun 14, 2022 - ML Data Associate in Bangalore",3,"Good managers , Much better leadership principles","Pressure in process, Rotational shifts",Management
339,Great place to work,"May 30, 2022 - Manager, Operations in New Delhi",5,"I enjoy working at Amazon because its always a Day-1 here. Its a ocean of learning, the more you dive deep, the more you learn.","I am in work from home process, sometimes I feel to work from office too, meeting with peers, colleagues, team etc.",Culture
340,One of the Best HRS,"May 30, 2022 - HRS Manager in Bangalore",5,Culture of organization is simply fascinating. Its a world by itself and comes with amazing Infrastructure. Working with Expats gives you huge opportunity.,"Promotions are basis manager discretion. An L4 manager n above cannot apply for roles via IJP, so until your manager thinks you are good, you wont move to next position, thats unfair. This is not equal employment opportunity.",Technology
341,Good,"May 30, 2022 - Team Lead in Calcutta",5,Good good good good good,None none none none none,Management
342,Amazon India Private ltd,"Jun 12, 2022 - SDE-2 in Chennai",4,1. Work on new tech 2. AWS 3. Salary 4. Peers,1. Work life balance 2. oncall,Technology
343,Growth company,"Jun 13, 2022 - Program Manager in Hyderābād",4,The company offers a lot of opportunities and hard work will ensure growth,No scope for being lethargy,Culture
344,Good one,"Jun 13, 2022 - Team Manager in Hyderābād",4,"Work culture, Facilities, Learning, Opportunities, Diversity",Little Stress here and there,Culture
345,Good place to work,"Jun 13, 2022 - Associate, Quality Services in Chennai",4,They will give important to you and your words. Manager will listen about the concerns we are facing.,Nothing much to tell about.,Technology
346,Great Place,"Jun 13, 2022 - Anonymous Employee in Chennai",4,"Internal transfers, Tech stack, Great teams",Might need to wade through Politics,Technology
347,Experience,"Jun 13, 2022 - CSA - Customer Service Associate in Noida",4,Nice Office Good Vibe in the office,Hectic work schedule in the Office,Technology
348,Misuse of hierarchical powers and HR's helplessness,"Jun 14, 2022 - Transportation Specialist in Hyderābād",2,"Amazon as a brand is a very good company and have proven to sustain in the international markets with decent rating both at customer satisfaction and employee experience levels, however unfortunately, this won't be the case while serving this company from Ind.","The day 1 culture at Amazon is fully respected and recommended, however it has some negative effects as well. The new management will have to check you out in person and you'll have to do everything all over again. This might cause demotivation and you might land into development plan which knocks your entire year's compensation, but who cares? You'll be played with until you give up or you choose to continue with the same torture all because you have responsibilities and because your dream company is Amazon. I'm confident that many tenured employees will support what all is stated above and would want to have justice for the time spent with the company without any growth and only false hopes. Amazon is also surviving because it has such people who care for the company but are getting sidelined just because of hierarchical domination.",Technology
349,High standards,"Jun 13, 2022 - Technical Support Representative in Cochin",3,Proper training programs and amazing working experience.,No fixed shift timings. Work shifts will be changing after 2 weeks.,Technology
350,Amazon review,"Jun 13, 2022 - Software Engineer in Hyderābād",3,You learn a lot in software development skills.,Work life balance is really bad.,Technology
351,Great place to work,"May 29, 2022 - SDE-2 in Hyderābād",5,* Many teams to choose from and many opportunities to learn and grow. * Flexible work timings and good work life balance. *,* Career development is too dependent on the team you work in and the projects in their charter.,Technology
352,Well reputed company,"May 29, 2022 - HR & Organization Manager in Bangalore",5,"Customer Satisfaction , More job offers","Right job to right person not given ,",Technology
353,Best place to work,"May 29, 2022 - Customer Service Associate in Pune",5,It's an employee centric company. Good chances of internal growth. Management really Supports you on each and every step at your career growth.,Working in Night shifts becomes very difficult. Shift never changes for 3 to 4 months.,Culture
354,2ieii,"May 29, 2022 - Customer Service Representative in Hyderābād",5,"Supportive, good, environment, npt, no work after logout., leaves","Monotonous, micromanage, pressure,less break time, some managers are too bad",Technology
355,Good work life balance,"Jun 11, 2022 - Quality Specialist in Hyderābād",4,Gud work life balance Flexible Easy leaves,Slow growth rate Sometimes poor management,Management
356,good,"Jun 11, 2022 - Business Intelligence Analyst in Ahmedabad",4,good company to work with,nothing as precise to mention,Culture
357,nice place to work,"Jun 12, 2022 - Resolution Specialist in Pune",4,no micromanagement and good working environment,rotational night shifts and company politics,Culture
358,Amazon SDE-1,"Jun 12, 2022 - Software Development Engineer (SDE) in Hyderābād",4,nice compensation & flexible international relocation,work life balance might be bad depending on team,Human_Resources
359,Decent company,"Jul 4, 2022 - Onboarding Specialist in Hyderābād",1,"Good infrastructure, benefits, and perks",Should work on managerial skills at lower level,Management
360,Amazing at Amazon!,"Jun 11, 2022 - Software Associate in Gurgaon, Haryana",3,The work culture is amazing.,Difficult to maintain work-life balance.,Culture
361,Good Working Environment,"Jun 9, 2022 - Sps Associate in Bangalore",3,"Flexibility,Good working environment,Good Training,Nice allowances,Great office",Work pressure but there is always someone to reach out for help like your supervisor for support.,Technology
362,good place to work,"Jun 11, 2022 - Data Scientist in Bangalore",3,"good problem statements, good compensation, work life balance","bureaucratic culture, slow, less opportunity for end-to-end ownership",Technology
363,Best place to work,"May 26, 2022 - Anonymous Employee in Chennai",5,Getting promotion. Based on your efforts you can scale up in career.,I don't have any cons personally,Technology
364,Life at Amazon,"May 27, 2022 - Operations Manager in Chennai",5,1.You will have a great work culture and awesome colleagues around to support. 2. Leadership is great and Amazon works as per their leadership principles at each level.,1. Nothing as such if your a self-starter and who loves to take initiatives,Management
365,awewrg,"May 27, 2022 - Manager in Bangalore",5,Nice place to work Good vibes,Work place is spread No Cons All good,Culture
366,Senior Catalogue Associate,"May 27, 2022 - Senior Catalogue Associate in Bangalore",5,It is the best job.,There are no cons for this job role.,Technology
367,Cool org!,"May 27, 2022 - Site Controller in Hyderābād",5,"Quality of work, management, culture, customer obsession, Leadership principles.",N/A . . . . .,Management
368,Good,"Jun 7, 2022 - Risk Investigator German Language in Bangalore",4,No extra work apart from required time Good internal opportunities,Every little thing is counted. That can be good and bad as well. But at some point it becomes bad. And they start telling that you can go to coaching plan.,Management
369,Good,"May 23, 2022 - D2TS Associate in Pune",5,"Product based company, mostly positive atmosphere.","Night shift, Pay, Not recommended for life time work",Technology
370,Best company to work with,"May 23, 2022 - Program Manager in Hyderābād",5,"It has been 5 years working with Amazon, and it is the best one to work with",NA!! Amazon is just awesome,Technology
371,very Good Company,"May 25, 2022 - Business Operations Specialist in Bangalore",5,Work culture Freedom Happy environment Supporting managers Good Facilities and benefits to employees,I recently joined amazon so i didn't come across any cons,Culture
372,Questions,"May 26, 2022 - Analyst in Indi, Karnataka",5,Multinational company with different exposures,Word load might be heavy sometimes,Technology
373,Great place to work,"May 26, 2022 - SPS Supervisor in Hyderābād",5,"Employee friendly as always, you are allowed to take your own decision.",No such cons to mention as every company will have their good and bad and that makes it challenging.,Culture
374,According to me,"May 26, 2022 - Software Developer Engineer I in Gurgaon, Haryana",5,"High pay , FAANG tag , Amazon benfits","bad work-life balance, lot of work",Culture
375,Great place to work,"May 26, 2022 - Associate in Chennai",5,"Good compensation Balanced workload Collaboration with multiple teams Friendly work atmosphere and culture Internal role change, domain change Promotions","Major con is that recruitment process is too long, sometimes without any feedback. People who does not have any patience will get totally frustrated by the process.",Technology
376,Good Company,"May 26, 2022 - Customer Service Associate in Calcutta",5,"On time payment, well structured job, good managers, proper employee benefits",Not much but during peak season the work can get hectic,Technology
377,An Amazing Experience,"May 26, 2022 - Account Specialist in Bangalore",5,Its one of the few companies that give work from home which is the new normal now. Work culture is very comfortable and fun.,Cannot really think of any cons as this is my first corporate job I don't know what not to expect. Lol.,Technology
378,Nothing,"May 26, 2022 - Sps Associate in Hyderābād",5,Good opportunity to experience early career employment,i did not find one,Technology
379,Good,"May 26, 2022 - Software Test Analyst in Hyderābād",5,Super company.good for freshers yeah,Don't not expect much hike and onsite opportunities,Management
380,Great place to work!!,"May 26, 2022 - Sourcing Recruiter in Pune",5,Lot of opportunities to learn. Smooth interview and joining process. Work from home option.,Slow promotions and growth opportunities,Technology
381,Great place to work!!,"May 26, 2022 - Sourcing Recruiter in Nottingham, England",5,Lot of opportunities to learn. Smooth interview and joining process. Work from home option.,Slow promotions and growth opportunities,Technology
382,Great Place to be for growth and work life satisfaction,"May 26, 2022 - Technical Account Manager (TAM) in Mumbai",5,It is a great place to work with awesome customer-centric culture that makes one to go way beyond to fulfill customer expectations and be a champion of customer pain point and alleviate them from any issues,"No Cons whatsoever , just communicate and grow",Culture
383,Company,"May 26, 2022 - Anonymous Employee in Hyderābād",5,"Environmental friendly for employees, hood place to work",Company is good no cons are there,Culture
384,Good company,"Jun 9, 2022 - Software Engineer in Gurgaon, Haryana",4,Nice place to work at,Nothing as such till now,Culture
385,Nice,"Jun 9, 2022 - Transaction Risk Investigator in Hyderābād",4,#NAME?,#NAME?,Culture
386,Nice role,"May 22, 2022 - DSL Customer Service Assistant in Mysore",5,Work environment is best one in the organization,Coradination is needed some time,Technology
387,It's good to work in the department,"May 25, 2022 - SSA, STATION SUPPORT ASSOCIATE in Hyderābād",5,I'm working as a station support team since from 3 years it's good to work in this department and i learned a lot with my colleagues and office management,Nothing I saw in my field.,Human_Resources
388,Work Life Balance,"May 25, 2022 - Operations Manager in South",5,"Amazon provides adequate time for a newcomer to the organisation, time to settle down into the job. There is a very structured process of onboarding.","Thereafter, the Ops Manager is responsible for the performance even when he is not present. Not a serious con but can be avoided.",Technology
389,Great place to work!,"May 25, 2022 - Senior Product Compliance Associate in Bangalore",5,Great Benefits and work culture !,No free Amazon Prime !,Culture
390,Awesome Work Life Balance,"May 25, 2022 - Senior Product Compliance Associate in Bangalore",5,Great Work Life Balance Decent salary Good management Good perks More flexibility,Rotational Shifts quarterly Low chances of promotion within team except the yearly increment.,Management
391,"Work Culture , compensation, Principles etc","Jun 8, 2022 - Catalog Quality Associate in Amritsar",4,Work culture is really good. everything is strictly followed.,Compensation is low and I couldn't see any yearly bonuses.,Culture
392,Good Policies and an awesome company,"Jun 8, 2022 - Team Manager in Calcutta",4,Awesome Policies and Good Culture,No Work Life balance and have to work for minimum 12 hrs,Culture
393,Amazon Review,"Jun 8, 2022 - Software Development Engineer (SDE) in Bangalore",4,#NAME?,"- Work Life balance - Projects one work on is dependent on team, I didn't get any exciting project.",Technology
394,Amazon fake review for Glassdoor,"Jun 8, 2022 - Software Engineer in Bangalore",4,Work culture is very nice,Higher CTC would be appreciated,Culture
395,eamployee salery,"Jun 8, 2022 - Team Manager in Bangalore",4,work is monotonous u will feel bored,compared to other departments you get time for your self,Culture
396,Don't Join the Entry Level Roles Just for the sake of the Company Name,"Jun 9, 2022 - in Bangalore",2,Amazon brand name on CV.,"Getting lost in the huge organization, Manager's respect depends on the team, Ridiculous pay gap based on type of work, Zero growth prospect",Technology
397,Amazing learning opportunities,"May 21, 2022 - Human Resources Business Partner HRBP in Hyderābād",5,Amazing learning opportunities with handsome salary,At times managing workload is difficult,Technology
398,Shabbir Ali Moosvi CV,"Jun 8, 2022 - in Hyderābād",3,Amazon is a multi national company. it's a growing firm,there are nothing as such,Culture
399,Amazon Onboarding,"Jun 8, 2022 - Onboarding Specialist in Hyderābād",3,Good place to work in Secure job Good work environment,Less learning Less change to grow within short time Amazon onboarding job is hectic,Technology
400,Fantastic company,"May 24, 2022 - Learning and Development Analyst in Bangalore",5,"Best salary, benefits, work culture and you get a lot of learning opportunities",Nothing as such so far,Culture
401,Bad place to work,"Jun 28, 2022 - Technical Support Specialist in New Delhi",1,Many additional benefits like cab before. Now not so much,"Pressure, Competitiveness, Elbow mentality cultivated",Technology
402,Targets from day 1 till u leave amazon,"Jun 7, 2022 - Cse2 in Hyderābād",2,Good salary and medical benifits,No work life balance. Targets will be set for every week and month Ur manager will chase you if you dont meet the targets Finally u know what happens,Technology
403,Sr investigator,"Jun 7, 2022 - Senior Investigation Specialist in Bangalore",3,"work culture, compensation, paid time offs",delayed promotion low support from leaders not employee centric,Culture
404,Amazon,"May 23, 2022 - Human Resources Associate in Bangalore",5,Best company in the world,nothing is needed everything is perfect,Culture
405,Customer Support Operations,"May 23, 2022 - Team Manager in Hyderābād",5,"Best workplace. Great Leadership team. Work Hard, Have fun, and Make History","Flexible Shifts, blackout holidays, no time to celebrate festivals with family",Culture
406,good company,"May 23, 2022 - Data Associate in New Delhi",5,good company with good worklifebalance,good company but growth is not that much,Culture
407,Great company,"May 23, 2022 - Account Manager in Hyderābād",5,Great work culture and benefits,"After work from home, spending most of the time at work",Culture
408,good working culture,"May 23, 2022 - Associate in Chennai",5,high Salary compare with other companies and normal work tension,you cant get leave at festivel days. you need to work for 365 days without leave,Culture
409,Good Environment but less work life balance,"Jun 6, 2022 - Process Associate in Bangalore",4,We have a pretty good working environment. Everyone was quite supportive. Managers are very understanding.,Sometimes due to work load there is an excess and we had to work during weekends.,Technology
410,Transaction Risk Investigator,"Jun 6, 2022 - Anonymous Employee in Bangalore",4,Definitely a great place to work,Depends on the role we work,Technology
411,Bad place to work,"Jun 28, 2022 - Technical Support Specialist in New Delhi",1,Many additional benefits like cab before. Now not so much,"Pressure, Competitiveness, Elbow mentality cultivated",Technology
