,id,title,author_info,rating,pros,cons,Date,Location,Status
186,186,Review,"Jun 15, 2022 - Process Associate in Bangalore",5,Best working culture environment over here.,I couldn't find any of the cons.,"Jun 15, 2022 ",Bangalore, Process Associate
187,187,Amazing place for working,"Jun 15, 2022 - Senior Associate in Pune",5,Really very good place to work for.,No cons are there at least till now,"Jun 15, 2022 ",Pune, Senior Associate
188,188,PM L5,"Jun 15, 2022 - Software Development Engineer (SDE) in Bangalore",5,Perks are good cabs are provided,Work-life balance can get hectic,"Jun 15, 2022 ",Bangalore, Software Development Engineer (SDE)
189,189,Awesome,"Jun 15, 2022 - Compliance Associate in Bangalore",5,"Great work life balance, salary, everything","Job pressure, long working hours","Jun 15, 2022 ",Bangalore, Compliance Associate
190,190,Good experience overall,"Jun 15, 2022 - Customer Service Representative in Jaipur, Rajasthan",5,"Good environment, Less workload, Friendly atmosphere Good work life balance Occassional meetings in 5 star hotels",Sometimes management tries to take extra work,"Jun 15, 2022 ","Jaipur, Rajasthan", Customer Service Representative
191,191,Proud Amazonian : Great company to work for,"Jun 29, 2022 - Subject Matter Expert (SME) in Chennai",4,1)Opportunities for professional development. 2)Great benefits and work life. 3) Hires the candidate despite of having career gap(with a fair reason ).,No Cons as of now.,"Jun 29, 2022 ",Chennai, Subject Matter Expert (SME)
192,192,.,"Jun 29, 2022 - Transaction Risk Investigator in Hyderābād",4,Great work atmosphere & diverse culture,Change in culture with change in management.,"Jun 29, 2022 ",Hyderābād, Transaction Risk Investigator
193,193,Excellent,"Jun 29, 2022 - Team Manager in Hyderābād",4,It is a great place to work. Helpful people,Too much work pressure. No work life balance,"Jun 29, 2022 ",Hyderābād, Team Manager
194,194,Highly Professional and demanding work culture,"Jun 29, 2022 - Senior Technical Program Manager in Hyderābād",4,Ample learning opportunities High work standards Freedom to choose progression path,Work life balance Competitive culture over team culture Approachability to management,"Jun 29, 2022 ",Hyderābād, Senior Technical Program Manager
195,195,Not bad no tech skills,"Jun 29, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",4,Average pay and good culture,No faster growth and need atleast 3 years,"Jun 29, 2022 ",Bangalore, Transaction Risk Investigator (TRMS)
196,196,Positive,"Jun 29, 2022 - Software Developer in Bangalore",3,Work culture is awesome for passionate people,Overload of work happens somedays,"Jun 29, 2022 ",Bangalore, Software Developer
197,197,Good for curious minds,"Jun 13, 2022 - Support Engineering Manager in Chennai",5,Culture Process Teams empowerment and taking fast decisions Customer focused,None at this moment .,"Jun 13, 2022 ",Chennai, Support Engineering Manager
198,198,Good job,"Jun 14, 2022 - Trainer in Bangalore",5,"No stress, helping co workers",No cons as such noticed,"Jun 14, 2022 ",Bangalore, Trainer
199,199,Digital Associate at Amazon,"Jun 14, 2022 - Digital Associate in Chennai",5,Extra benefits Stress free and approachable,No such cons it's according to the skills we've,"Jun 14, 2022 ",Chennai, Digital Associate
200,200,Great learnings,"Jun 14, 2022 - Senior Product Manager in Bangalore",5,Great learning Business acumen Great salary Good career opportunities Strong Brand name,Work-life Heavy processes Heavy writing culture (can be good for someone),"Jun 14, 2022 ",Bangalore, Senior Product Manager
201,201,Professional Work Culture,"Jun 14, 2022 - Technical Account Manager (TAM) in Bangalore",5,"Very Well organised onboarding plan, gives confidence on your way to success at Amazon. Team is extremely professional and supportive.",Compensation Plan could have been better.,"Jun 14, 2022 ",Bangalore, Technical Account Manager (TAM)
202,202,The good and the bad.,"Jun 27, 2022 - Software Development Engineer in Bangalore",4,Opportunity to work on something impactful. Work environment and culture,Not looking out for individuals goal and development.,"Jun 27, 2022 ",Bangalore, Software Development Engineer
203,203,Good working,"Jun 28, 2022 - Sps Associate in Mumbai",4,Good environment and good Process EXCELLENT management and people.,Need more growth and yearly increments.,"Jun 28, 2022 ",Mumbai, Sps Associate
204,204,Salary Review,"Jun 10, 2022 - D2AS Advanced Technician in Hyderābād",5,Everyday is day 1 in Amazon,Not much of cons I can recall,"Jun 10, 2022 ",Hyderābād, D2AS Advanced Technician
205,205,Nice,"Jun 13, 2022 - Process Specialist in Hyderābād",5,"Casual, moderate work pressure, and much more","Rotational shifts, not everyone is as good as u but get recognised by management.","Jun 13, 2022 ",Hyderābād, Process Specialist
206,206,Overall great company,"Jun 13, 2022 - Transaction Risk Investigator in Bangalore",5,Get to learn a lot Friendly work colleagues,No cons for the company,"Jun 13, 2022 ",Bangalore, Transaction Risk Investigator
207,207,Is a good job for work from home candidate,"Jun 13, 2022 - Virtual Assistant Customer Service Support in Panapākkam",5,"*Even though students can apply this job * We feels like easiest job we can handle the customer without any stress *If we having the good laptop, good microphone we can easily connect with our Amazon customers",*I think no cons is there,"Jun 13, 2022 ",Panapākkam, Virtual Assistant Customer Service Support
208,208,Amazon review,"Jun 13, 2022 - Business Ops Specialist in New Delhi",5,Friendly - Work Environment Reasonable salary for everyone,Take too much time to respond.,"Jun 13, 2022 ",New Delhi, Business Ops Specialist
209,209,Transcation Risk Investigator,"Jun 13, 2022 - Transcation Risk Investigator in Hyderābād",5,"Good company, work life balance, freedom, good pay, cab","not transparent, night shifts, food,","Jun 13, 2022 ",Hyderābād, Transcation Risk Investigator
210,210,Amazon work-life,"Jun 13, 2022 - Account Manager in Chennai",5,Best benefits and perks if you work here,"Big volumes of workload at times, you have to put in long hours most of the time.","Jun 13, 2022 ",Chennai, Account Manager
211,211,Nothing,"Jun 13, 2022 - WAN Engineer in Bangalore",5,"Good Company, You Can learn many things Here.","Nothing, No Cons seen till yet,","Jun 13, 2022 ",Bangalore, WAN Engineer
212,212,Data annotator,"Jun 28, 2022 - Associate in Chennai",2,1.Cab facilities 2. Good Ambience 3. Decent Initial salary for freshers.,"1. Poor hike percentage 2. Biased managers, no proper recognition for employee contribution","Jun 28, 2022 ",Chennai, Associate
213,213,A company with goal - Customer centric always,"Jun 9, 2022 - Catalog Specialist in Hyderābād",5,"Excellent leadership and principles, a lot to learn","Internal Growth is slow, but never the less a great place to work","Jun 9, 2022 ",Hyderābād, Catalog Specialist
214,214,"politics, career intensity","Jun 27, 2022 - in Bangalore",3,Compensation hikes are great problems to.be solved are challenging and impactful,"Management resembles something of an old boy's club. older folks have distinct crab-like characteristics, if you're a new joinee, you're expected to 'take a few for the team'- that means that more tenured people in the organization will rush to take your credit. this is especially true if you are close to one of your milestones for esop grants.","Jun 27, 2022 ",Bangalore,
215,215,Feels Like Home!,"Jun 12, 2022 - Associate CTK in Bangalore",5,"The learning is great it any fields, Everyone around is very supportive and this unique culture is great.",Maybe it makes people a bot jealous.,"Jun 12, 2022 ",Bangalore, Associate CTK
216,216,The best place to work,"Jun 12, 2022 - Customer Service in Bangalore",5,Culture Brand Diversity Value Get paid for your work,Time discipline strict Only one hour break,"Jun 12, 2022 ",Bangalore, Customer Service
217,217,Business analyst,"Jun 12, 2022 - Business Analyst in Bangalore Rural",5,"Great opportunities, leaves and management",I haven't seen any such cons,"Jun 12, 2022 ",Bangalore Rural, Business Analyst
218,218,Best Orginisation for entry level,"Jun 12, 2022 - Transaction Risk Investigator in Hyderābād",5,"Best work culture, lot of employe benefits",Slow growth for an entry level.,"Jun 12, 2022 ",Hyderābād, Transaction Risk Investigator
219,219,Good work atmosphere,"Jun 12, 2022 - 3D Artist in Hyderābād",5,Good work atmosphere overall. Good salary,Couldt found any major cons or problem,"Jun 12, 2022 ",Hyderābād, 3D Artist
220,220,amazing,"Jun 12, 2022 - IT Asset & Support in Bangalore",5,work environment is too good Career growth and development Flexibility,i dont feel ant downside,"Jun 12, 2022 ",Bangalore, IT Asset & Support
221,221,na,"Jun 26, 2022 - DE SPS Associate in Bangalore",3,amazon has great work environment,they have less growth opportunities,"Jun 26, 2022 ",Bangalore, DE SPS Associate
222,222,Na,"Jun 10, 2022 - Subject Matter Expert in Hyderābād",5,Good team and supporting management,Nothing as much as I know,"Jun 10, 2022 ",Hyderābād, Subject Matter Expert
223,223,Good salary,"Jun 11, 2022 - Office Assistant in Gurgaon, Haryana",5,Bright future in this company,"No overtime facility, Sundays off onl","Jun 11, 2022 ","Gurgaon, Haryana", Office Assistant
224,224,Pros vs Cons,"Jun 11, 2022 - Software Development Engineer I in Bangalore",5,Excellent compensation. International relocation opportunities. Very easy team switching Excellent growth opportunities,Work life balance is good but it can be improved,"Jun 11, 2022 ",Bangalore, Software Development Engineer I
225,225,Internal movement is a bit difficult,"Jun 25, 2022 - Quality Specialist in Hyderābād",4,You'll get that feeling of working for a tier 1 product based compay,Internal movement is difficult if youre coming to the company with experience they'll give higher pay,"Jun 25, 2022 ",Hyderābād, Quality Specialist
226,226,"Good career growth, no benefits","Jun 25, 2022 - SDE-2 in Bangalore",4,"Ownership, exposure to entire project lifecycle","work culture is bad, people work only for promos","Jun 25, 2022 ",None, SDE
227,227,Benefits amazon,"Jun 25, 2022 - Senior Product Manager in Hyderābād",4,Flexibility to move between teams,Employee benefits are not much,"Jun 25, 2022 ",Hyderābād, Senior Product Manager
228,228,good one!,"Jun 25, 2022 - Data Analyst in Rohtak",3,This is good environment company.,Time Management needs to be improved.,"Jun 25, 2022 ",Rohtak, Data Analyst
229,229,Monotonous,"Jun 25, 2022 - Machine Learning Data Associate in Bangalore",3,Good benefits and a secured job,Nothing new to learn every day. Have to do the same tasks repetitively in order to meet KPIs and stay in there. Fewer growth opportunities.,"Jun 25, 2022 ",Bangalore, Machine Learning Data Associate
230,230,Working In amazon,"Jun 25, 2022 - Software Development Engineer (SDE) in Hyderābād",3,Its a great company to boost your skill as well as coding techniques.,Sometimes makes us more lazy,"Jun 25, 2022 ",Hyderābād, Software Development Engineer (SDE)
231,231,Excellent Place to pick up leaderships skills early in your careers,"Jun 9, 2022 - Senior Manager, Product Management in Bangalore",5,Operate at least 2 levels higher than what you would in other companies.,"Requires a very high degree of focus, determination, perseverance, and ability to deal with ambiguity","Jun 9, 2022 ",Bangalore," Senior Manager, Product Management"
232,232,SDE 1 at Amazon,"Jun 10, 2022 - Software Development Engineer I in Bangalore",5,1. Can upscale yourself a lot! Lots of learning opportunities. 2. Competitive Pay 3. Helpful and Friendly Manager and Teammates. 4. Challenging Work.,1. Steep learning curve for anyone who is new to Cloud and Amazon.,"Jun 10, 2022 ",Bangalore, Software Development Engineer I
233,233,Amazing,"Jun 10, 2022 - Sps Associate in Calcutta",5,Work culture Friendly peers and seniors Flat hierarchy Pay is good,"Nothing really , everything is superb","Jun 10, 2022 ",Calcutta, Sps Associate
234,234,Promotion issues,"Jun 10, 2022 - Customer Service Associate in Noida",5,It’s a good company in various means. Good salary at this skill level. Environment and working conditions are really good.,"Not easy to take promotions. You have to work reallly reallly hard to get promoted and that takes a lot of time and patience. Not everyone can hold themselves for that time but those who do, it really worths it 👍","Jun 10, 2022 ",Noida, Customer Service Associate
235,235,good culteure and salary but hectic worl,"Jun 23, 2022 - Software Engineer in Bangalore",3,salary and culture is good.,hectic work. they give lots of work,"Jun 23, 2022 ",Bangalore, Software Engineer
236,236,good job,"Jun 23, 2022 - Transaction Risk Investigator in Hyderābād",3,risk investigation is for non It people,meeting deadlines are stressful most of the times,"Jun 23, 2022 ",Hyderābād, Transaction Risk Investigator
237,237,Life,"Jun 23, 2022 - Quality Assurance Associate in Chennai",3,Brand name is a good thing for other companies,"Work, they suck your blood they don't care if targets exhaust's you or not they need their business and will be salary in peanuts. I'm 23 yrs old same work our team working in Charleston in US their age is from 30-50 which means they are using us like slaves for less salary.","Jun 23, 2022 ",Chennai, Quality Assurance Associate
238,238,Work life balance,"Jun 8, 2022 - Associate in Noida",5,"Work life will be balanced over here,",No cons according to me,"Jun 8, 2022 ",Noida, Associate
239,239,Repetitive but amazing culture,"Jun 8, 2022 - Transactional Risk Investigator in Bangalore",5,"Jib secyrity , good culture, lot to learn, oppurtunity to shift",Keeps on changing.. Reducing handaling time,"Jun 8, 2022 ",Bangalore, Transactional Risk Investigator
240,240,Good,"Jun 8, 2022 - Catalog Associate, English in Bangalore",5,Good company with lots of experience people,Work life balance is not available,"Jun 8, 2022 ",Bangalore," Catalog Associate, English"
241,241,Excellent,"Jun 8, 2022 - D2 Advanced Technician in Hyderābād",5,Free meal allowance and Night shift allowance,"8 hour work, night shifts rotational every 3 months","Jun 8, 2022 ",Hyderābād, D2 Advanced Technician
242,242,best place to work as a fresher,"Jun 8, 2022 - Junior 3D Artist in Bangalore",5,"friendly environment, best support from leads, suitable work for modelers and texturing artist.","if u r fresher, you definitely feel huge work load.","Jun 8, 2022 ",Bangalore, Junior 3D Artist
243,243,Recommend,"Jun 8, 2022 - Listing Specialist in Hyderābād",5,Just kicked started my job with Amazon.Good place to work,Working hours get stretched a bit.,"Jun 8, 2022 ",Hyderābād, Listing Specialist
244,244,Good to work,"Jun 22, 2022 - MEP Manager in Bangalore",4,get more ex-poser in all areas,work life balance and relatively non open for new,"Jun 22, 2022 ",Bangalore, MEP Manager
245,245,Salary,"Jun 22, 2022 - Digital Associate in Chennai",4,Work life balance Great company to start with,No growth and cannot switch to other roles,"Jun 22, 2022 ",Chennai, Digital Associate
246,246,nil,"Jun 22, 2022 - Tech Associate in Hyderābād",3,good for freshers for first or initial job,"less pay, work life balance issues","Jun 22, 2022 ",Hyderābād, Tech Associate
247,247,Better place to work !,"Jun 7, 2022 - Catalog Lead in Chennai",5,"Just Kicked started my job with amazon, The initial impression and the task are impressive and its completely a friendly environment to work with.","Nothing as of now, All good","Jun 7, 2022 ",Chennai, Catalog Lead
248,248,Salary,"Jun 7, 2022 - Senior TA Specialist in Bangalore",5,good salary as per the market,work life balance gets affected sometimes,"Jun 7, 2022 ",Bangalore, Senior TA Specialist
249,249,Great Culture,"Jun 7, 2022 - Program Manager in Hyderābād",5,Great Culture and the company is still able to uphold the culture of innovation even after becoming very big.,People get stretched a bit which spoils their work Life balance.,"Jun 7, 2022 ",Hyderābād, Program Manager
250,250,Good,"Jun 7, 2022 - Device Associate in Chennai",5,Good place to work and learn more,Nothing much about the company,"Jun 7, 2022 ",Chennai, Device Associate
251,251,Great place to work,"Jun 7, 2022 - Solutions Architect Associate in Pune",5,"Everyone in the team is always there to help. Lot of things to learn. Every new assignment happens to be unique in its own way..#quite interesting It grooms you to be an all-rounder leader. A happening place, culture and environment to work in.",I found none till date.,"Jun 7, 2022 ",Pune, Solutions Architect Associate
252,252,Account manager,"Jun 7, 2022 - Account Manager in New Delhi",5,Best work culture . Streamlined process,Sometimes growth is slow in marketplace,"Jun 7, 2022 ",New Delhi, Account Manager
253,253,work expeience,"Jun 21, 2022 - Quality Specialist in Hyderābād",4,best place to work.. work life balance,"no cons, everything is good.. best place to work","Jun 21, 2022 ",Hyderābād, Quality Specialist
254,254,Good,"Jun 21, 2022 - Advertiser Support Team Leader in Hyderābād",4,Good Growth and Competitive Pay,Not so good work-life balance,"Jun 21, 2022 ",Hyderābād, Advertiser Support Team Leader
255,255,Good,"Jun 6, 2022 - Team Leader in Pune",5,Good Better Best Bestest Waah,They don't provide overtime. This I don't like,"Jun 6, 2022 ",Pune, Team Leader
256,256,Great start with Amazon,"Jun 6, 2022 - Associate Marketing Specialist in Bangalore",5,My on-boarding buddy pampered me like a kid and helped me with everything. My teammates were very welcoming. Got all the updates about my on-boarding on my mail with step-wise process to complete the on-boarding.,"There is no unified platform that will which contains all the facilities that enables you to work, there are different platform which are used form different tasks.","Jun 6, 2022 ",Bangalore, Associate Marketing Specialist
257,257,Excellent company,"Jun 6, 2022 - Transaction Risk Investigator in Hyderābād",5,Very good and friendly environment we will get the salary more than expected,Shifts are the only problem but if you are ready for anything then everything is awesome at amazon,"Jun 6, 2022 ",Hyderābād, Transaction Risk Investigator
258,258,Best Company To Work,"Jun 6, 2022 - Catalog Associate in Bangalore",5,Great culture Great environments Care for their employees,Less pay for non tech teams,"Jun 6, 2022 ",Bangalore, Catalog Associate
259,259,Better place to work,"Jun 6, 2022 - Sourcing Specialist in Bangalore",5,"Work life balance, Career progression, Good exposure, Good pay",Little bit difficult in early days to adapt.,"Jun 6, 2022 ",Bangalore, Sourcing Specialist
260,260,good company,"Jun 20, 2022 - ML Data Associate - I in Chennai",4,non tech low stress fixed log in log out timing overtime pay,no promotion less appreciation to lower level employees,"Jun 20, 2022 ",None, ML Data Associate 
261,261,good company,"Jun 20, 2022 - Anonymous Employee in Hyderābād",4,good work life balance here.,high pressure to work here,"Jun 20, 2022 ",Hyderābād, Anonymous Employee
262,262,All good,"Jun 20, 2022 - CSA - Customer Service Associate in Noida",4,Everything is good as per the working environment,WFH might emerge as a con because of high work load,"Jun 20, 2022 ",None, CSA 
263,263,SPS NA,"Jun 20, 2022 - Seller Support Associate in Pune",4,Chilled Environment Just B2B cases to resolve No telephonic interaction required Meal card Interest Allowance IT kit with laptop provided Welcome Kit separately provided,Longest training period of 4 months. Have to complete all the 4 phases before you hit the production floor Little strict than most profile since it is a B2B profile.,"Jun 20, 2022 ",Pune, Seller Support Associate
264,264,Review,"Jun 20, 2022 - CRC Senior Associate in Hyderābād",4,"Great experience, better learning and wonderful community","work from home, contract based job and low coordination","Jun 20, 2022 ",Hyderābād, CRC Senior Associate
265,265,Good for learning,"Jun 20, 2022 - Software Development Engineer in Gurgaon, Haryana",4,"Growth-oriented , great perks and easy to switch teams",Work-life balance is not great.,"Jun 20, 2022 ","Gurgaon, Haryana", Software Development Engineer
266,266,good salary,"Jun 20, 2022 - Software Engineer II SDE2 in Chennai",4,good salary or 4 year exp person,couldnt think of any cons as such,"Jun 20, 2022 ",Chennai, Software Engineer II SDE2
267,267,Cool,"Jun 20, 2022 - Catalog Assistant in Bangalore",4,Best place and Environment in it.,Best place to work man.,"Jun 20, 2022 ",Bangalore, Catalog Assistant
268,268,Good,"Jun 20, 2022 - Principal Applications Engineer in Hyderābād",3,Good but very less hike,Work life balance is good,"Jun 20, 2022 ",Hyderābād, Principal Applications Engineer
269,269,Business operation specialist,"Jun 20, 2022 - Catalog Specialist I in Hyderābād",3,Great work nd life balance,Promotion opportunities are very selective,"Jun 20, 2022 ",Hyderābād, Catalog Specialist I
270,270,"Good company for a fresher, but not for long term","Jun 20, 2022 - Game Moderator in Noida",3,Good work life balance in case of work from home. Every employee is respected and treated fairly.,Less growth opportunity. Sudden changes in working hours.,"Jun 20, 2022 ",Noida, Game Moderator
271,271,It's an amazing company.,"Jun 4, 2022 - Software Engineer in Hyderābād",5,excellent teamwork. A peaceful atmosphere to work.,I found no cons in my job till now.,"Jun 4, 2022 ",Hyderābād, Software Engineer
272,272,It was Good as per Industry,"Jun 4, 2022 - Quality Assurance Engineer in Chennai",5,overall good support from people,could have better work life balance,"Jun 4, 2022 ",Chennai, Quality Assurance Engineer
273,273,i love this job,"Jun 5, 2022 - Amazon Software Development Engineer in Hyderābād",5,"excellent team coordination , peaceful work atmosphere",i didnt find any cons till date,"Jun 5, 2022 ",Hyderābād, Amazon Software Development Engineer
274,274,Join at your own risk. Go for AWS.,"Jun 19, 2022 - in Bangalore",3,Always on your toes with work. Lots of mentorship opportunities and free LinkedIn courses to upskill oneself. Free cab services and lots of paid holidays.,Most teams are saturated with a lot of L3 associates so getting visibility is a pain if the L4 manager is not good. HR is unsupportive and not at all interactive even during onboarding. Less pay than other companies with same job roles (Non - Tech roles) Less transparency when it comes to promotion from L3 to L4 and projects get stolen by other associates. So lots of internal politics.,"Jun 19, 2022 ",Bangalore,
275,275,Na,"Jun 4, 2022 - Selling Partner Support Associate in Bangalore",5,Work culture is good. Everyone is respectful of other employee,They have great allowances but still the pay is less,"Jun 4, 2022 ",Bangalore, Selling Partner Support Associate
276,276,Good company with no growth,"Jun 4, 2022 - Client Service Associate in Indore",5,A nice place to work,No growth at all in last 3 years,"Jun 4, 2022 ",Indore, Client Service Associate
277,277,nice,"Jun 4, 2022 - Anonymous Employee in Hyderābād",5,good study good working environment,too much competition too much study,"Jun 4, 2022 ",Hyderābād, Anonymous Employee
278,278,Good place to work,"Jun 4, 2022 - Catalog Specialist in Hyderābād",5,Good culture Good seniors Good working environment,A little more attention could be given to training new hires.,"Jun 4, 2022 ",Hyderābād, Catalog Specialist
279,279,Great culture,"Jun 4, 2022 - Software Support Engineer in Chennai",5,Great palce to work for.,Poor work-life balance for experienced people,"Jun 4, 2022 ",Chennai, Software Support Engineer
280,280,Great place to work,"Jun 4, 2022 - Software Developer in Bangalore",5,Salary is great Work culture is awesome,"As of now , i didn't find anyhing","Jun 4, 2022 ",Bangalore, Software Developer
281,281,Amazing place to work with.,"Jun 18, 2022 - IT Support Associate II in Pune",4,Workplace is good Benefits are exceptional Culture is good,Rotation shifts and weekoffs Nothing else actually,"Jun 18, 2022 ",Pune, IT Support Associate II
282,282,ok,"Jun 18, 2022 - Software Development Engineer (SDE) in Hyderābād",4,good team and lots of learnig,"workload is hectic, and oncall is a nigtmare","Jun 18, 2022 ",Hyderābād, Software Development Engineer (SDE)
283,283,Excellent place to work,"Jun 18, 2022 - Manager - Risk Investigations in Hyderābād",4,Systems and processes are extremely good . . Great work culture too including work-life balance.,So far haven't faced any negative experience.,"Jun 18, 2022 ",None, Manager 
284,284,Superb,"Jun 18, 2022 - Software Engineer in Bangalore",4,Good company good pay n job,Nothin to share much good,"Jun 18, 2022 ",Bangalore, Software Engineer
285,285,Good place to work,"Jun 18, 2022 - Applied Scientist in Bangalore",3,Learning opportunities and curve is good,"Can be too much work for some people. Personally, I don't have a problem with that","Jun 18, 2022 ",Bangalore, Applied Scientist
286,286,Good,"Jun 3, 2022 - SEO Executive in Bangalore",5,Good work culture and great opportunities,Nothing as per my knowledge,"Jun 3, 2022 ",Bangalore, SEO Executive
287,287,Great place to work,"Jun 3, 2022 - Senior Manager, Program Management in Pune",5,Working with some of the best minds in the world Deeply ingrained culture in most employees,Sometimes it gets too big to manoeuvre,"Jun 3, 2022 ",Pune," Senior Manager, Program Management"
288,288,Good place to earn money,"Jun 3, 2022 - Problem Solver in Chennai",5,It has two week of every week and extra allowence for night shift safe and secure for night shift for both gender,To increase the the lunch time as 30 to 40 min,"Jun 3, 2022 ",Chennai, Problem Solver
289,289,Great oraganisation to work,"Jun 3, 2022 - Process Associate in Bangalore",5,Great organization to work as a fresher,less career growth opportunities if you want to move from non it to tech role,"Jun 3, 2022 ",Bangalore, Process Associate
290,290,Great place to work,"Jun 16, 2022 - Transactional Risk Investigator in Bangalore",4,Great place to work and stress free job,No cons working in Amazon for now,"Jun 16, 2022 ",Bangalore, Transactional Risk Investigator
291,291,Its wonderful but with its own caveats.,"Jun 17, 2022 - Human Resources Senior Administrative in Hyderābād",4,"Good salary for the work provided, Helpful leadership who reach out to mentor you.",Lack of a balance as it is a stressful job.,"Jun 17, 2022 ",Hyderābād, Human Resources Senior Administrative
292,292,Bad Management but Good Learning opportunity,"Jun 17, 2022 - SDE-1 Amazon in Hyderābād",3,"Learning opportunities, can get abroad opportunity",Rest everything you can think in cons it is there in Amazon,"Jun 17, 2022 ",None, SDE
293,293,Feedback,"Jun 17, 2022 - Sales in Bangalore",3,Good infra and leave policy,"Poor pay and career growth,","Jun 17, 2022 ",Bangalore, Sales
294,294,Good work culture,"Jun 2, 2022 - CS Operations Analyst in Bangalore",5,Amazon gives a lot of benefits,There is room for improvement,"Jun 2, 2022 ",Bangalore, CS Operations Analyst
295,295,Testing,"Jun 2, 2022 - Quality Service Associate in Chennai",5,Work culture Best people to work with,Less Salary when compared to other Big MNc's,"Jun 2, 2022 ",Chennai, Quality Service Associate
296,296,Good company,"Jun 2, 2022 - Associate CTK in Bangalore",5,Work life balance and good management,Slow growth due to huge numbers of employees,"Jun 2, 2022 ",Bangalore, Associate CTK
297,297,Customer service specialist,"Jun 2, 2022 - Customer Service Specialist in Pune",5,"Awesome Infrastructure & Organisation to work. Values Employees & Great Work Atmosphere,Polite and Professional people, Phenomenal Benefits for Employees.",There should be an opportunity for technical job role also.,"Jun 2, 2022 ",Pune, Customer Service Specialist
298,298,Still Day 1,"Jun 15, 2022 - Associate Vendor Manager in Bangalore",4,Vast network of brilliant minds Lot of opportunities to grow for any career path Competitive Compensation & benefits,No on the job training at all. You are expected to start work from day 1. Indian employees get the least benefits when compared to other geographies,"Jun 15, 2022 ",Bangalore, Associate Vendor Manager
299,299,Good culturey,"Jun 15, 2022 - Transaction Risk Investigator in Bangalore Rural",4,Good culture Good manager Good colleagues Work life balance,No growth for the role Saturated job market Less pay for all the hardwork and time,"Jun 15, 2022 ",Bangalore Rural, Transaction Risk Investigator
300,300,Best Company,"Jun 16, 2022 - Intern in Chennai",4,Paid Intern best learning experience best staffs,Doesnt seen any of those while working,"Jun 16, 2022 ",Chennai, Intern
301,301,-,"Jun 16, 2022 - VCS Customer Service Representative in Noida",4,"Good company , Flexible timings, salary on time No leaves issue","Payscale low , Limited growth opportunities","Jun 16, 2022 ",Noida, VCS Customer Service Representative
302,302,Full of learnings,"Jun 16, 2022 - Software Development Engineer I in Hyderābād",4,"* Improve your skill in 360 degree. You are not just expected to do design and development, but you'll be doing peer code and design review, hiring, mentoring, optimizing cost of services by improving cpu and memory utilization, some work for prime day like scaling-descaling of services, oncalls and lot more. * Competitive salary after especially 2022 market correction * Smart peers","* Competitive environment, expectations are high from employee as compare to other company. * Amazon expects you to be good at all his LPs. Sometimes due to lack of opportunities, it becomes to gather data points for some of the LPs.","Jun 16, 2022 ",Hyderābād, Software Development Engineer I
303,303,Excellent,"Jun 16, 2022 - ML Data Associate - I in Hyderābād",4,Customer and employee centric. Very good work culture. Good facilities.,Slow growth. Monotonous work. Slow bias for action.,"Jun 16, 2022 ",None, ML Data Associate 
304,304,Retail Business Service,"Jun 16, 2022 - Associate Catalog in Bangalore",4,"Interesting, good support, Learning opportunity","Repeated work, slow growth, less pay","Jun 16, 2022 ",Bangalore, Associate Catalog
305,305,LMAQ have worst management,"Jun 16, 2022 - Manager in Hyderābād",3,Can Learn new technologies and explore good envirnment,SR Management plays lot of games and growth is very slow,"Jun 16, 2022 ",Hyderābād, Manager
306,306,salary,"Jun 16, 2022 - Product Support Analyst in Bangalore",3,I don't think I can recollect any,Don't join Amazon they don't appreciate hard work its all buttering,"Jun 16, 2022 ",Bangalore, Product Support Analyst
307,307,its amazing to work with anmazon,"Jun 16, 2022 - Business Analyst in Hyderābād",3,lot of time to work on your skills,too much of headcount which dsnt let you seek oppurtunities,"Jun 16, 2022 ",Hyderābād, Business Analyst
308,308,Honest Review,"Jun 1, 2022 - Software Development Engineer in New Delhi",5,There are tons of learning opportunities with lots of things to learn!,You cannot maintain a work-life balance,"Jun 1, 2022 ",New Delhi, Software Development Engineer
309,309,Good,"Jun 1, 2022 - Senior Software Engineer in Bangalore",5,Good working env here you get,no con that i can think of,"Jun 1, 2022 ",Bangalore, Senior Software Engineer
310,310,Amazon a great place to work,"Jun 1, 2022 - Human Resources Associate in Bangalore",5,Benifits are great . Peers are great to work in a team .,Sometimes it's huge volumes working in weekends,"Jun 1, 2022 ",Bangalore, Human Resources Associate
311,311,Good leave policy Good work timings,"Jun 1, 2022 - Senior Quality Service Associate in Chennai",5,Lot of Benefits for Employees,career growth progress will be very slow,"Jun 1, 2022 ",Chennai, Senior Quality Service Associate
312,312,The king of cloud storage.,"Jun 14, 2022 - Cloud Solution Architect in Bangalore",4,Friendly Environment Best for developing the knowledge.,You should update yourself in order to compete with freshers.,"Jun 14, 2022 ",Bangalore, Cloud Solution Architect
313,313,Great workplace,"Jun 15, 2022 - Advocacy Operation Specialist in Hyderābād",4,Good team leads who help you in all aspects,Nothing much as TLs are always there to assist you,"Jun 15, 2022 ",Hyderābād, Advocacy Operation Specialist
314,314,Great work environment,"Jun 15, 2022 - SDE 1 in Hyderābād",4,Good perks and regular rewards,Low inhand salary as compared to other,"Jun 15, 2022 ",Hyderābād, SDE 1
